id,title,description,date_time,status,notif_2h_sent,notif_7m_sent,,,,,
1,Деньги,,2026-06-17 19:00,done ,TRUE,TRUE,,,,,
2,Новый образ себя,,2026-06-19 18:00,done ,TRUE,TRUE,,,,,
3,Формирование сценариев,,2026-06-23 19:00,upcoming,FALSE,FALSE,,,,,"Важные правила:

id — просто числа по порядку: 1, 2, 3...
date_time — строго формат ГГГГ-ММ-ДД ЧЧ:ММ по московскому времени, без секунд
status — всегда пиши upcoming для новых эфиров. После проведения можешь менять на done (необязательно, но для порядка)
notif_2h_sent / notif_7m_sent — всегда FALSE при создании. GAS сам поставит TRUE после отправки, не трогай вручную"
4,Автономность и энергия,,2026-06-25 14:00,upcoming,FALSE,FALSE,,,,,
5,Роскошная ценность,,2026-06-30 19:00,upcoming,FALSE,FALSE,,,,,
6,Проверка)) 1,,2026-06-22 17:30,upcoming,FALSE,TRUE,,,,,
7,Проверка)) 2 ,,2026-06-22 19:15,upcoming,TRUE,TRUE,,,,,
8,Проверка)) 3,,2026-06-22 17:30,upcoming,FALSE,TRUE,,,,,
9,Проверка)) 4,,2026-06-22 19:40,upcoming,TRUE,TRUE,,,,,
