ключ,текст
welcome,"🧠 Добро пожаловать в бот «Секреты Роскоши»!

Ты получила доступ к личному трекеру программы. Нажми кнопку ниже чтобы открыть его.

Если вдруг у тебя возникнут вопросы - можешь писать нам в службу заботы @TeleskaPraktiki"
instructions,"📱 Как пользоваться трекером:

• Отмечай выполненные материалы галочкой
• Используй фильтры для удобства отслеживания метариалов
• Оставляй фидбэк после каждого материала
• Следи за своим прогрессом на шкале трансформации
• Возвращайся после каждого эфира "
inactivity_10,"🍯Привет! Заметила что ты давно не заглядывала в трекер 

Загляни — там тебя ждут новые материалы "
inactivity_17,"🧠 Напоминаем что в трекере тебя ждут материалы!

Каждый шаг — это твоя трансформация"
inactivity_24,"🍇 Уже больше трёх недель без трекера...

Возвращайся — прогресс никуда не делся!"
inactivity_30,"🍎 Месяц — хороший момент чтобы вернуться к себе

Трекер ждёт тебя"
not_found,Если ты не добавлена в программу – напиши в службу заботы @TeleskaPraktiki
